SenderID;ReceiverID;EventTime
166980;11023;2011-12-11 14:17:41
11023;166980;2011-12-11 14:18:42
111236;11023;2011-12-11 14:19:18
11023;111236;2011-12-11 14:22:21
111236;11023;2011-12-11 14:24:48
11023;111236;2011-12-11 14:25:44
111236;11023;2011-12-11 14:26:59
11023;147795;2011-12-11 14:33:17
11023;144571;2011-12-11 14:33:17
11023;156324;2011-12-11 14:33:46
156324;11023;2011-12-11 14:34:20
147795;11023;2011-12-11 14:34:30
11023;156324;2011-12-11 14:34:32
11023;147795;2011-12-11 14:34:53
156550;11023;2011-12-11 14:37:50
11023;156550;2011-12-11 14:38:08
156550;11023;2011-12-11 14:40:09
11023;156550;2011-12-11 14:41:21
896302;11023;2011-12-11 14:42:22
11023;896302;2011-12-11 14:45:20
896302;11023;2011-12-11 14:46:06
15723;11023;2011-12-11 17:02:48
11023;15723;2011-12-11 17:06:15
15723;11023;2011-12-11 17:07:26
11023;15723;2011-12-11 17:08:18
15723;11023;2011-12-11 17:10:50
11023;140993;2011-12-11 19:37:12
140993;11023;2011-12-11 19:41:21
11023;140993;2011-12-11 19:41:41
11023;528855;2011-12-11 19:44:22
157480;11023;2011-12-11 20:07:48
11023;157480;2011-12-11 20:31:46
157480;11023;2011-12-11 20:33:14
11023;157480;2011-12-11 21:14:33
